;Brent;M2;USD_RUR;Construction_real_index;Construction_nominal_value;IPC;ICP_prom;Index_prom_O2;Index_dobycha_O2;Index_obrab_O2;Index_energy_O2;Index_water_O2;Index_prom_O1;Index_dobycha_O1;Index_obrab_O1;Index_energy_water_O1;Index_roznica;Roznica_current;Pay_service_to_prev_y;Pay_service_to_prev_period;Opt_current;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2014m1;105.79;30136.1;35.24;222.4;263.3;100.6;100.4;100;100;100;100;100;138;136.9;156;97.7;286.7;1867.1;101.8;89.8;3253.7;1.72626E+12;1.00597E+11;1.33553E+11;1.92021E+11;2.39662E+11;2.27717E+11;9.81067E+11;89770005673;68121377605;95428956384;1.89557E+11;1.84915E+11;1.45862E+12;85000297070;1.12847E+11;1.6225E+11;2.02505E+11;1.92412E+11;8.28963E+11;75852134040;57559892376;80633725448;1.60168E+11;1.56246E+11;118.3486883
2014m2;108.65;30459;36.05;234.5;286.4;100.7;99.6;101.6;92.7;108.9;91.1;100.6;140.2;126.4;172.7;90.1;285.3;1871.3;100.6;102;3518.8;1.85357E+12;1.1097E+11;2.0302E+11;1.25315E+11;2.48226E+11;3.95215E+11;2.39245E+12;1.35731E+11;6.28522E+11;2.14542E+11;2.09685E+11;6.70042E+11;1.55531E+12;93113586709;1.70352E+11;1.05151E+11;2.08283E+11;3.3162E+11;2.00747E+12;1.1389E+11;5.27385E+11;1.8002E+11;1.75944E+11;5.62224E+11;119.1771291
2014m3;107.7;29800.1;35.69;329.6;384.5;101;102.3;110.9;101.2;121.8;86.4;102.3;153.8;138.5;194.3;87.7;309.8;2054.5;101.3;103.1;3888.7;2.38059E+12;3.68041E+11;2.11638E+11;2.48302E+11;2.33975E+11;4.12595E+11;2.05853E+12;1.08137E+11;2.77301E+11;2.36623E+11;2.30267E+11;6.87187E+11;1.97774E+12;3.05761E+11;1.75825E+11;2.06284E+11;1.94382E+11;3.42775E+11;1.71018E+12;89837581369;2.30376E+11;1.96582E+11;1.91301E+11;5.70901E+11;120.3689004
2014m4;108.14;30160;35.7;343.5;402.5;100.9;100.7;109.3;99.2;122.9;73.2;102.7;149.6;135.8;191.9;76.1;305.5;2042.9;100.3;100.5;3910.4;2.53791E+12;3.19334E+11;2.30105E+11;2.05982E+11;2.61344E+11;4.17767E+11;2.34661E+12;1.49954E+11;1.97969E+11;2.63809E+11;3.52198E+11;8.13822E+11;2.08964E+12;2.6293E+11;1.89461E+11;1.69599E+11;2.15182E+11;3.43977E+11;1.93213E+12;1.23468E+11;1.63001E+11;2.17212E+11;2.89989E+11;6.70076E+11;121.4522205
2014m5;109.49;30245.6;34.74;368.2;441.8;100.9;100.4;107.3;102.4;120.1;59.4;100.5;149;140.2;192.3;63.5;310.7;2095;100.8;97.1;3744.5;2.074E+12;1.46647E+11;2.00605E+11;1.31401E+11;2.46425E+11;4.00587E+11;1.74109E+12;90731326371;1.25123E+11;2.1327E+11;2.33882E+11;6.19328E+11;1.69243E+12;1.19668E+11;1.63698E+11;1.07226E+11;2.01089E+11;3.26889E+11;1.42078E+12;74039015301;1.02104E+11;1.74034E+11;1.90854E+11;5.05387E+11;122.5452905
2014m6;112.4;30426.2;33.63;472.1;568.7;100.6;100.8;109.1;100.3;125.8;52.9;104.4;148.9;137.7;196.4;57.5;312.6;2118.8;101.1;101.8;3801.5;2.09884E+12;1.12095E+11;2.22025E+11;2.62097E+11;2.54763E+11;4.28727E+11;2.06383E+12;1.26144E+11;1.17769E+11;2.75893E+11;2.95E+11;7.01889E+11;1.70249E+12;90926414933;1.80098E+11;2.12602E+11;2.06653E+11;3.47766E+11;1.67409E+12;1.02322E+11;95529220057;2.23792E+11;2.39292E+11;5.69343E+11;123.2805622
2014m7;105.52;30524.8;35.73;470.6;568.7;100.5;101.6;110.3;102.9;126.5;53.9;102.7;152.2;140.7;200.9;58.5;322.3;2192.2;100.8;100.5;3923.7;2.43705E+12;3.09483E+11;2.6718E+11;1.399E+11;2.44197E+11;4.21753E+11;2.13686E+12;1.62863E+11;1.36735E+11;2.92665E+11;2.22917E+11;7.19218E+11;1.96699E+12;2.4979E+11;2.15647E+11;1.12917E+11;1.97097E+11;3.40406E+11;1.72471E+12;1.3145E+11;1.10362E+11;2.36216E+11;1.79921E+11;5.80497E+11;123.896965
2014m8;103.11;30688.9;36.93;467.4;572.7;100.2;100;110;103.3;125.4;55.2;100.8;151.9;142.3;198.5;59.4;331.9;2263.8;101.1;100.6;3860.9;2.03515E+12;1.65399E+11;1.95966E+11;92287452925;2.39596E+11;3.75663E+11;1.91118E+12;98505054494;1.2697E+11;2.46339E+11;1.58074E+11;7.13753E+11;1.63933E+12;1.33231E+11;1.57853E+11;74338581582;1.92998E+11;3.02601E+11;1.53947E+12;79346929595;1.02276E+11;1.98429E+11;1.27331E+11;5.74936E+11;124.144759
2014m9;94.8;30644.8;39.39;494.5;615.2;100.7;99.2;113.9;102.4;132;59.5;104;156;141.4;206.6;63.1;326.6;2241.3;102.4;100.6;4079.4;2.07806E+12;1.71377E+11;2.0064E+11;2.70792E+11;2.37704E+11;3.69832E+11;2.04748E+12;1.10904E+11;1.44056E+11;2.77715E+11;2.30272E+11;7.13859E+11;1.66227E+12;1.37086E+11;1.60494E+11;2.1661E+11;1.90142E+11;2.95833E+11;1.63781E+12;88713596439;1.15232E+11;2.22148E+11;1.84197E+11;5.71024E+11;125.0137723
2014m10;85.96;30268.4;43.39;486.1;603.2;100.8;100.3;121.2;106.3;138.7;80.1;103.8;163.9;145.3;213.4;81.4;333.8;2310.9;101.7;101;4241.8;2.3421E+12;2.32622E+11;2.23584E+11;1.53362E+11;2.31276E+11;3.75331E+11;2.29469E+12;1.65518E+11;1.20043E+11;3.31733E+11;2.80891E+11;7.94242E+11;1.85861E+12;1.84601E+11;1.77428E+11;1.21702E+11;1.83532E+11;2.97849E+11;1.82098E+12;1.31349E+11;95262049818;2.63251E+11;2.22905E+11;6.30282E+11;126.0138825
2014m11;68.34;30625.6;49.32;480.2;600.5;101.3;99.5;120.3;102.6;137.4;88.8;103.8;163.6;141.6;212.3;88.9;334.1;2343.6;101.4;100;4248.7;1.87584E+12;1.07234E+11;2.06901E+11;98581802089;2.35744E+11;3.4884E+11;1.9174E+12;1.04403E+11;1.54443E+11;2.36644E+11;2.20428E+11;6.42803E+11;1.46949E+12;84004746053;1.62082E+11;77226955700;1.84677E+11;2.73274E+11;1.50205E+12;81787522863;1.20987E+11;1.85382E+11;1.72679E+11;5.03558E+11;127.6520629
2014m12;57.54;32110.5;56.26;655;817.7;102.6;100.8;135.3;107.8;159;98.8;117.6;176.8;147;231.9;99.9;411.6;2954.8;102.4;106.5;5013;2.93169E+12;2.30864E+11;4.05508E+11;2.6823E+11;2.31936E+11;5.81053E+11;5.32476E+12;2.96734E+11;3.83613E+11;1.85845E+12;4.14121E+11;1.14745E+12;2.23843E+12;1.76271E+11;3.09617E+11;2.04801E+11;1.7709E+11;4.4365E+11;4.0656E+12;2.26565E+11;2.92899E+11;1.41898E+12;3.16193E+11;8.7611E+11;130.9710166
2015m1;52.95;31448.6;68.93;201.1;271.4;103.9;101.3;100;102;99.4;98.3;98.3;139.4;138.9;155.8;98.8;274.6;2050.5;100.6;88.1;3549.3;1.66153E+12;81912750063;1.31986E+11;2.15876E+11;1.64235E+11;2.44286E+11;1.83326E+12;1.02144E+11;6.73403E+11;1.60051E+11;1.92001E+11;3.8296E+11;1.221E+12;60195047405;96992180421;1.5864E+11;1.20691E+11;1.79518E+11;1.3472E+12;75062345063;4.94862E+11;1.17617E+11;1.41095E+11;2.81425E+11;136.0788862
2015m2;62.48;31716.4;61.27;224.2;311.9;102.2;102.1;99.8;93.2;106.1;87.7;98;138.2;126.6;167.7;88.5;264.4;2024.4;98.9;100.3;3722.9;1.74148E+12;34448491600;2.14831E+11;1.35462E+11;3.04142E+11;4.15376E+11;2.40388E+12;1.09825E+11;5.86973E+11;1.88863E+11;2.1354E+11;7.75539E+11;1.25221E+12;24770146113;1.54474E+11;97403781101;2.18693E+11;2.98676E+11;1.72851E+12;78969872754;4.22062E+11;1.35802E+11;1.53546E+11;5.5765E+11;139.0726217
2015m3;55.1;31636.7;58.46;298.2;398.1;101.2;105.5;112.3;103.4;123;87.2;100.7;153;139.2;190.5;88.5;282.4;2196.6;99.5;103.7;4243.1;2.64155E+12;5.16774E+11;2.23406E+11;3.28647E+11;3.1819E+11;4.453E+11;2.25469E+12;1.20963E+11;1.92437E+11;2.4468E+11;2.32152E+11;8.55462E+11;1.87688E+12;3.67179E+11;1.58735E+11;2.33511E+11;2.26081E+11;3.16396E+11;1.60201E+12;85946784303;1.36731E+11;1.73851E+11;1.6495E+11;6.07825E+11;140.7414932
2015m4;66.8;32103.4;51.7;300;401.6;100.5;102.7;107.3;99.5;118.7;75.3;102.1;143.1;134.6;178.1;77.4;275.6;2158.9;97.5;98.6;4049.4;2.66035E+12;5.25162E+11;2.35786E+11;2.5051E+11;2.98933E+11;4.55612E+11;3.04001E+12;1.77049E+11;1.98318E+11;2.58541E+11;3.49314E+11;1.41393E+12;1.88083E+12;3.71283E+11;1.66698E+11;1.77108E+11;2.11342E+11;3.22112E+11;2.14925E+12;1.25172E+11;1.40209E+11;1.82785E+11;2.46961E+11;9.99632E+11;141.4452006
2015m5;65.19;32310.2;52.97;310.5;424.9;100.4;98.8;104.8;102.1;115.8;59.8;100.1;141.1;138.9;176.3;62.7;281.7;2213.7;97;96.7;3859.4;1.80984E+12;1.82202E+11;2.06529E+11;89143243813;2.78977E+11;4.33543E+11;1.82864E+12;1.08376E+11;1.28629E+11;1.80601E+11;2.40431E+11;6.87625E+11;1.27443E+12;1.28302E+11;1.45432E+11;62772077843;1.96447E+11;3.05288E+11;1.28768E+12;76315483701;90576759079;1.27174E+11;1.69305E+11;4.84206E+11;142.0109814
2015m6;63.14;32492.8;55.52;407.1;559.3;100.2;100.7;108.1;100.1;124.2;53.5;104.2;141.9;136.4;183.4;56.9;282.8;2223.3;98.5;103.4;4121.7;2.23389E+12;1.614E+11;2.32892E+11;2.84063E+11;2.96228E+11;4.91121E+11;2.27099E+12;1.42665E+11;1.32932E+11;2.61602E+11;3.27686E+11;8.05965E+11;1.5699E+12;1.13427E+11;1.63668E+11;1.9963E+11;2.08179E+11;3.45143E+11;1.59598E+12;1.0026E+11;93419845496;1.83845E+11;2.30286E+11;5.66404E+11;142.2950034
2015m7;51.85;32665.5;58.99;383.9;526.2;100.8;101.5;108.7;103.5;123.2;54.8;102.7;145.2;140.9;186.7;57.9;291.9;2301.1;97.9;99.9;4152.6;2.49463E+12;2.14935E+11;2.93728E+11;2.3399E+11;2.90738E+11;4.73732E+11;2.42388E+12;1.76894E+11;1.30778E+11;4.48751E+11;2.23618E+11;7.99772E+11;1.73923E+12;1.4985E+11;2.04784E+11;1.63135E+11;2.02699E+11;3.3028E+11;1.6899E+12;1.23328E+11;91176584076;3.12864E+11;1.55904E+11;5.57591E+11;143.4333634
2015m8;53.12;33030.7;66.48;386.2;539.2;100.4;100.1;110.2;104.4;125.3;56;100.9;145.5;143.3;185;58.8;300.9;2376.7;97.1;99.8;4162.3;2.07353E+12;1.44686E+11;2.06174E+11;84323210517;2.82111E+11;4.23184E+11;2.11317E+12;1.20793E+11;1.56865E+11;3.29489E+11;1.41548E+11;7.9513E+11;1.43988E+12;1.00472E+11;1.43169E+11;58554899267;1.95901E+11;2.93863E+11;1.46741E+12;83880131715;1.08929E+11;2.288E+11;98292535219;5.52146E+11;144.0070969
2015m9;48.44;32950.8;66.24;432.1;610.7;100.6;98.9;113.6;103.5;131.3;59;104;150.4;142.6;195.3;61.4;291.9;2322.6;97.5;100.8;4363.3;2.17938E+12;2.32731E+11;2.07843E+11;2.78265E+11;2.47189E+11;4.29325E+11;2.07949E+12;1.2444E+11;1.09144E+11;2.22019E+11;2.51257E+11;7.91437E+11;1.50436E+12;1.60647E+11;1.43468E+11;1.92078E+11;1.70627E+11;2.9635E+11;1.4354E+12;85896711657;75338670113;1.53253E+11;1.73435E+11;5.46304E+11;144.8711395
2015m10;49.5;32859.6;64.37;426.1;601.1;100.7;101.8;119.3;107.5;135.4;78.1;103.5;158.3;147.3;200.8;78.4;296.5;2385.2;97.6;100.8;4399;2.41487E+12;2.38066E+11;2.25018E+11;2.38628E+11;2.5608E+11;4.34231E+11;2.25281E+12;1.63068E+11;1.17501E+11;2.48147E+11;2.81273E+11;8.03149E+11;1.65532E+12;1.63187E+11;1.54243E+11;1.63572E+11;1.75535E+11;2.97652E+11;1.54424E+12;1.11779E+11;80543583453;1.70097E+11;1.92804E+11;5.50535E+11;145.8852374
2015m11;44.5;33315.4;66.24;438.4;619;100.8;99.3;121.5;103.1;140.1;86.9;103.3;157.9;141.7;201.2;86;293.6;2387.3;97.5;99.8;4350.8;1.76818E+12;83958400140;2.24771E+11;11768162491;2.58215E+11;4.29121E+11;2.16409E+12;1.17623E+11;1.81376E+11;2.50645E+11;2.12815E+11;7.93715E+11;1.20242E+12;57094237287;1.52851E+11;8002704441;1.75594E+11;2.91815E+11;1.47164E+12;79987497904;1.23341E+11;1.70446E+11;1.4472E+11;5.3975E+11;147.0523193
2015m12;37.6;35809.2;72.88;630.5;885;100.8;97.8;132.6;107.5;156.2;93.8;109.3;169;147.4;218.1;93.5;353.8;2898.1;96.3;105.2;4949.6;2.81485E+12;1.82705E+11;4.04832E+11;2.97866E+11;2.31794E+11;6.72437E+11;4.64286E+12;3.74966E+11;5.74337E+11;9.81025E+11;3.68929E+11;1.15069E+12;1.89899E+12;1.23259E+11;2.73113E+11;2.0095E+11;1.56376E+11;4.53648E+11;3.13223E+12;2.52964E+11;3.87466E+11;6.61832E+11;2.48892E+11;7.76296E+11;148.2287379
2016m1;35.91;34839.7;75.17;186.6;261;101;98.5;99;102.2;97.7;100.7;88.8;135.7;139.7;147;101.1;257.9;2129.5;96.9;87.5;4067.2;1.65312E+12;70375937965;1.3906E+11;3.00734E+11;2.00079E+11;2.95173E+11;1.09548E+12;59798726893;12581488058;47773800926;1.63694E+11;4.82478E+11;1.10421E+12;47007852519;92885880084;2.00876E+11;1.33643E+11;1.97162E+11;7.31733E+11;39942767598;8403848704;31910676478;1.0934E+11;3.22273E+11;149.7110253
2016m2;36.64;35105.4;75.09;213.3;307.4;100.6;98.8;103.4;99;109.9;87.1;95.9;139.8;134;166;88.5;254.8;2119;100.4;104.1;4616.9;1.61155E+12;88618670920;2.37975E+11;93573782556;1.7673E+11;4.59816E+11;2.25313E+12;1.34605E+11;3.23088E+11;1.35719E+11;2.54339E+11;8.26862E+11;1.07002E+12;58840108789;1.58008E+11;62130152576;1.17343E+11;3.05304E+11;1.49601E+12;89373875923;2.14521E+11;90113311449;1.68873E+11;5.49012E+11;150.6092914
2016m3;40.14;35440.1;67.61;289.7;399.4;100.5;103.1;112.5;108.1;121.3;86.2;99.8;152.5;145.1;185.1;87.8;268.6;2247.8;99;102.5;5169.3;2.61146E+12;4.81927E+11;2.39252E+11;3.37425E+11;2.01481E+11;4.97458E+11;2.99048E+12;1.31204E+11;5.50475E+11;2.78077E+11;2.37733E+11;1.1838E+12;1.7253E+12;3.18393E+11;1.58066E+11;2.22925E+11;1.33111E+11;3.28654E+11;1.97571E+12;86682318376;3.6368E+11;1.83716E+11;1.57062E+11;7.82097E+11;151.3623379
2016m4;47.32;35908.7;64.33;281.6;392;100.4;101.9;108.3;102.1;120.1;71.7;99.9;144;137;179.1;74.3;264;2222.6;99.7;99.2;4955.5;2.4539E+12;4.38124E+11;2.46635E+11;2.54747E+11;2.23484E+11;4.8799E+11;2.69037E+12;1.75474E+11;2.73944E+11;3.34753E+11;3.38495E+11;9.24074E+11;1.61475E+12;2.88301E+11;1.62294E+11;1.67632E+11;1.4706E+11;3.21114E+11;1.77036E+12;1.15468E+11;1.80264E+11;2.20279E+11;2.22741E+11;6.08073E+11;151.9677872
2016m5;49.52;36251.6;66.08;284.9;404.1;100.4;100.9;106.3;104.3;117.3;60.1;101.9;142.2;140.4;176.8;64;266.9;2258.1;100.7;97.8;4741.3;1.88295E+12;2.11748E+11;2.35631E+11;41463551888;2.22989E+11;4.80277E+11;2.07713E+12;1.35334E+11;1.36397E+11;2.14359E+11;2.59403E+11;7.82989E+11;1.23411E+12;1.38783E+11;1.54436E+11;27175731914;1.4615E+11;3.1478E+11;1.36138E+12;88699871209;89396563981;1.40494E+11;1.70016E+11;5.13181E+11;152.5756584
2016m6;49.74;36487.2;64.26;366.7;524.6;100.4;102.6;110.3;102.3;126.8;54.7;102.7;144.5;137.9;186.5;58;268.8;2283.3;98.6;101.5;5071;2.30854E+12;1.9237E+11;2.51997E+11;3.13244E+11;2.70923E+11;5.20582E+11;2.47633E+12;1.58688E+11;1.75026E+11;3.43E+11;3.32689E+11;8.54896E+11;1.50702E+12;1.25579E+11;1.64504E+11;2.04486E+11;1.76859E+11;3.39837E+11;1.61655E+12;1.03592E+11;1.14257E+11;2.23911E+11;2.1718E+11;5.58077E+11;153.185961
2016m7;43.27;36654.2;67.05;374.4;542.7;100.5;100.6;110.2;106.1;124.3;55.5;102.8;144.8;142;183.9;58.3;279.5;2381.2;98.9;100.5;5014.9;2.41137E+12;2.61137E+11;2.87895E+11;2.33224E+11;2.73964E+11;4.94244E+11;2.20122E+12;1.63625E+11;1.75121E+11;2.67282E+11;2.10728E+11;7.82959E+11;1.56631E+12;1.69622E+11;1.87003E+11;1.51491E+11;1.77954E+11;3.21038E+11;1.42981E+12;1.06283E+11;1.1375E+11;1.73614E+11;1.36879E+11;5.08574E+11;153.9518908
2016m8;46.97;36821.4;64.91;379.6;559.8;100;98.7;111.9;107;126.5;57;102.3;146.5;143.2;186.7;59.3;288.5;2458.4;101.9;102.9;5236;2.26492E+12;1.91151E+11;2.36194E+11;1.27722E+11;2.57726E+11;4.65321E+11;2.31771E+12;1.38015E+11;1.46847E+11;3.31522E+11;1.64414E+11;8.72193E+11;1.47119E+12;1.24163E+11;1.53421E+11;82962178927;1.67407E+11;3.02251E+11;1.50548E+12;89648106521;95385075522;2.15341E+11;1.06796E+11;5.66536E+11;153.9518908
2016m9;49.99;36917.8;63.16;403.6;601.6;100.2;100.6;113.8;106.3;129.7;60.2;104;149.2;142.9;191.2;62.1;283;2418.5;99.4;98.4;5365.5;2.17672E+12;2.00772E+11;2.28475E+11;3.00787E+11;2.66639E+11;4.68153E+11;2.39172E+12;1.46895E+11;1.59672E+11;4.10892E+11;2.02365E+11;8.54612E+11;1.41108E+12;1.30152E+11;1.4811E+11;1.94988E+11;1.72851E+11;3.03484E+11;1.55045E+12;95225715360;1.03508E+11;2.66364E+11;1.31185E+11;5.54008E+11;154.2597946
2016m10;48.51;36051;62.9;422.9;635.6;100.4;100.1;121.3;109.8;137.3;79.2;106.3;157.8;146.7;199.2;79.2;283.8;2443.8;99.2;100.5;5362.9;2.49648E+12;2.6325E+11;2.40361E+11;3.2055E+11;2.66266E+11;4.91372E+11;2.38176E+12;1.3975E+11;1.99888E+11;2.77077E+11;2.97321E+11;8.38315E+11;1.61191E+12;1.69974E+11;1.55195E+11;2.06971E+11;1.71921E+11;3.17266E+11;1.53784E+12;90233097210;1.29063E+11;1.78902E+11;1.91973E+11;5.41278E+11;154.8768338
2016m11;51.52;36433;64.94;444.5;665.9;100.4;100.5;125.6;106.2;144.9;91.7;104.6;162.1;142.2;206.4;89.4;281.3;2435.5;101.8;102.3;5570.5;2.22474E+12;1.76766E+11;2.48618E+11;42838063969;3.00289E+11;5.66167E+11;2.5688E+12;1.50161E+11;1.96683E+11;3.45728E+11;2.41955E+11;9.05213E+11;1.43074E+12;1.13678E+11;1.59887E+11;27549242421;1.93116E+11;3.64103E+11;1.652E+12;96568683013;1.26487E+11;2.22338E+11;1.55601E+11;5.82144E+11;155.4963411
2016m12;56.75;38418;60.66;595.6;890.3;100.4;100.9;132.9;109.6;154;101.6;109;174.1;148.4;222.7;98.4;335.6;2919.6;99.9;104.2;6180.3;3.65096E+12;1.94081E+11;4.26412E+11;2.91351E+11;2.68839E+11;8.10049E+11;5.44461E+12;3.16354E+11;1.42784E+12;9.03639E+11;3.99982E+11;1.17086E+12;2.33858E+12;1.24317E+11;2.73134E+11;1.86622E+11;1.72202E+11;5.18869E+11;3.48749E+12;2.02637E+11;9.14589E+11;5.78816E+11;2.56204E+11;7.49981E+11;156.1183265
2017m1;55.49;38016.8;60.16;181.7;272.3;100.6;103.3;101.3;105.5;99.8;101.5;90.2;;;;;252.3;2211.3;102.7;89.9;4629.2;1.97885E+12;1.21901E+11;1.56141E+11;3.30281E+11;3.30439E+11;3.10254E+11;1.68292E+12;82907023774;28859099711;54277693761;1.93069E+11;9.41159E+11;1.25997E+12;77616961776;99417726661;2.10297E+11;2.10397E+11;1.97545E+11;1.07155E+12;52788516468;18375150753;34559664556;1.22931E+11;5.99254E+11;157.0550364
2017m2;56.45;38475.2;57.94;203.1;315.7;100.2;100.8;100.7;98.9;104.5;89.5;77.4;;;;;248;2178.9;97.8;99.2;4917.8;1.97223E+12;1.08065E+11;2.4483E+11;1.3974E+11;3.74088E+11;4.9953E+11;2.24529E+12;1.23565E+11;3.3806E+11;1.41149E+11;2.25366E+11;8.731E+11;1.25325E+12;68669730958;1.55577E+11;88797678832;2.37714E+11;3.17426E+11;1.42677E+12;78519471884;2.1482E+11;89692696496;1.43208E+11;5.5481E+11;157.3691465
2017m3;53.62;38555.2;56.38;275.2;407.1;100.1;99.7;113.5;108.2;122.7;86.6;82.1;;;;;267.6;2356.7;100.1;104.9;5694;3.08548E+12;6.21279E+11;2.57413E+11;3.84828E+11;3.25433E+11;5.53632E+11;2.96422E+12;1.32006E+11;3.6237E+11;3.80452E+11;2.70761E+11;1.20266E+12;1.9587E+12;3.94397E+11;1.6341E+11;2.44294E+11;2.0659E+11;3.51454E+11;1.88173E+12;83799282166;2.30037E+11;2.41516E+11;1.71883E+11;7.63466E+11;157.5265157
2017m4;51.85;38664.5;56.98;280.4;421.2;100.3;98.5;110.9;106.2;121.1;75.6;83.6;;;;;264.2;2332.1;99.4;98.4;5254.1;2.46942E+12;2.26962E+11;2.61085E+11;2.93002E+11;3.24202E+11;5.42046E+11;2.62605E+12;1.9213E+11;2.31357E+11;2.91484E+11;3.7248E+11;9.30597E+11;1.56293E+12;1.43647E+11;1.65244E+11;1.85446E+11;2.05192E+11;3.43069E+11;1.66207E+12;1.21602E+11;1.46429E+11;1.84485E+11;2.35748E+11;5.88989E+11;157.9990952
2017m5;50.98;39223.6;56.52;295;453;100.4;99.5;112.2;109.9;124.3;62.9;84.4;;;;;268.9;2380;101.2;99.5;5216;2.50271E+12;4.47104E+11;2.62153E+11;73911942330;3.17664E+11;5.49088E+11;2.32636E+12;1.17871E+11;2.10838E+11;2.5147E+11;2.60286E+11;9.0146E+11;1.57769E+12;2.81852E+11;1.6526E+11;46593603808;2.00254E+11;3.46142E+11;1.46652E+12;74304792792;1.32911E+11;1.58525E+11;1.64083E+11;5.68274E+11;158.6310916
